DATE;SHOPNUMBER;ID_GOOD;QTY
2016-01-01;1;1234569;100
2016-01-01;1;1234570;200
2016-01-01;1;1234571;300
2016-01-01;1;1234572;400
2016-01-01;1;1234573;500
2016-01-01;1;1234574;600
2016-01-01;1;1234575;700
2016-01-01;2;1234577;800
2016-01-01;2;1234578;900
2016-01-01;2;1234579;1000
2016-01-01;2;1234580;120
2016-01-01;2;1234581;135
2016-01-01;3;1234571;150
2016-01-01;3;1234572;165
2016-01-01;3;1234573;180
2016-01-01;3;1234574;195
2016-01-01;4;1234575;210
2016-01-01;4;1234576;225
2016-01-01;4;1234569;240
2016-01-01;4;1234570;255
2016-01-01;4;1234571;100
2016-01-01;4;1234572;200
2016-01-01;4;1234573;300
2016-01-01;4;1234574;400
2016-01-01;4;1234577;500
2016-01-01;4;1234578;600
2016-01-01;4;1234579;700
2016-01-01;5;1234580;800
2016-01-01;5;1234581;900
2016-01-01;5;1234567;1000
2016-01-01;5;1234568;120
2016-01-01;5;1234569;135
2016-01-01;5;1234570;150
2016-01-01;5;1234571;165
2016-01-01;5;1234572;180
2016-01-01;6;1234573;195
2016-01-01;6;1234574;210
2016-01-01;6;1234575;225
2016-01-01;6;1234567;240
2016-01-01;6;1234568;255
2016-01-01;6;1234569;100
2016-01-01;6;1234570;200
2016-01-01;6;1234571;300
2016-01-01;6;1234572;400
2016-01-01;7;1234573;500
2016-01-01;7;1234574;600
2016-01-01;7;1234575;700
2016-01-01;7;1234576;800
2016-01-01;7;1234577;900
2016-01-01;7;1234578;1000
2016-01-01;7;1234579;120
2016-01-01;8;1234580;135
2016-01-01;8;1234567;150
2016-01-01;8;1234568;165
2016-01-01;8;1234569;180
2016-01-01;8;1234570;195
2016-01-01;8;1234571;210
2016-01-01;9;1234572;225
2016-01-01;9;1234573;240
2016-01-01;9;1234574;255
2016-01-01;9;1234575;100
2016-01-01;9;1234576;200
2016-01-01;10;1234577;300
2016-01-01;10;1234578;400
2016-01-01;10;1234579;500
2016-01-01;10;1234580;600
2016-01-01;10;1234581;700
2016-01-01;10;1234567;800
2016-01-01;11;1234568;900
2016-01-01;11;1234569;1000
2016-01-01;11;1234570;120
2016-01-01;11;1234571;135
2016-01-01;11;1234572;150
2016-01-01;11;1234573;165
2016-01-01;11;1234574;180
2016-01-01;12;1234575;195
2016-01-01;12;1234576;210
2016-01-01;12;1234577;225
2016-01-01;12;1234578;240
2016-01-01;12;1234579;255
2016-01-01;13;1234580;100
2016-01-01;13;1234581;200
2016-01-01;13;1234567;300
2016-01-01;13;1234568;400
2016-01-01;13;1234569;500
2016-01-01;13;1234570;600
2016-01-01;13;1234571;700
2016-01-01;13;1234572;800
2016-01-01;13;1234573;900
2016-01-01;13;1234574;1000
2016-01-01;13;1234575;120
2016-01-01;14;1234576;135
2016-01-01;14;1234577;150
2016-01-01;14;1234578;165
2016-01-01;14;1234579;180
2016-01-01;14;1234580;195
2016-01-01;14;1234581;210
2016-01-01;14;1234567;225
2016-01-01;15;1234568;240
2016-01-01;15;1234569;255
2016-01-01;15;1234570;100
2016-01-01;16;1234571;200
2016-01-01;16;1234572;300
2016-01-01;16;1234573;400
2016-01-01;16;1234574;500
2016-01-01;16;1234575;600
2016-01-01;16;1234576;700
2016-01-01;16;1234577;800
2016-01-01;16;1234578;900
2016-01-01;16;1234579;1000
2016-01-01;16;1234580;120
2016-01-01;16;1234581;135
2016-01-02;1;1234567;150
2016-01-02;1;1234568;165
2016-01-02;1;1234569;180
2016-01-02;1;1234570;195
2016-01-02;2;1234571;210
2016-01-02;2;1234572;225
2016-01-02;2;1234573;240
2016-01-02;2;1234574;255
2016-01-02;2;1234575;100
2016-01-02;2;1234576;200
2016-01-02;2;1234577;300
2016-01-02;3;1234578;400
2016-01-02;3;1234579;500
2016-01-02;3;1234580;600
2016-01-02;3;1234581;700
2016-01-02;3;1234567;800
2016-01-02;3;1234568;900
2016-01-02;4;1234569;1000
2016-01-02;4;1234570;120
2016-01-02;4;1234571;135
2016-01-02;4;1234572;150
2016-01-02;4;1234573;165
2016-01-02;4;1234574;180
2016-01-02;4;1234575;195
2016-01-02;4;1234576;210
2016-01-02;4;1234577;225
2016-01-02;5;1234578;240
2016-01-02;5;1234579;255
2016-01-02;5;1234580;100
2016-01-02;5;1234581;200
2016-01-02;5;1234567;300
2016-01-02;5;1234568;400
2016-01-02;5;1234569;500
2016-01-02;6;1234570;600
2016-01-02;6;1234571;700
2016-01-02;6;1234572;800
2016-01-02;6;1234573;900
2016-01-02;6;1234574;1000
2016-01-02;7;1234575;120
2016-01-02;7;1234576;135
2016-01-02;7;1234577;150
2016-01-02;7;1234578;165
2016-01-02;7;1234579;180
2016-01-02;7;1234580;195
2016-01-02;7;1234581;210
2016-01-02;7;1234567;225
2016-01-02;7;1234568;240
2016-01-02;8;1234569;255
2016-01-02;8;1234570;100
2016-01-02;8;1234571;200
2016-01-02;8;1234572;300
2016-01-02;8;1234573;400
2016-01-02;9;1234574;500
2016-01-02;9;1234575;600
2016-01-02;9;1234576;700
2016-01-02;9;1234577;800
2016-01-02;9;1234578;900
2016-01-02;9;1234579;1000
2016-01-02;9;1234580;120
2016-01-02;9;1234581;135
2016-01-02;9;1234567;150
2016-01-02;9;1234568;165
2016-01-02;10;1234569;180
2016-01-02;10;1234570;195
2016-01-02;10;1234571;210
2016-01-02;10;1234572;225
2016-01-02;10;1234573;240
2016-01-02;10;1234574;255
2016-01-02;10;1234575;100
2016-01-02;10;1234576;200
2016-01-02;10;1234577;300
2016-01-02;10;1234578;400
2016-01-02;11;1234579;500
2016-01-02;11;1234580;600
2016-01-02;11;1234581;700
2016-01-02;11;1234567;800
2016-01-02;11;1234568;900
2016-01-02;11;1234569;1000
2016-01-02;12;1234570;120
2016-01-02;12;1234571;135
2016-01-02;12;1234572;150
2016-01-02;12;1234573;165
2016-01-02;12;1234574;180
2016-01-02;12;1234575;195
2016-01-02;13;1234576;210
2016-01-02;13;1234577;225
2016-01-02;13;1234578;240
2016-01-02;13;1234579;255
2016-01-02;13;1234580;100
2016-01-02;13;1234581;200
2016-01-02;14;1234567;300
2016-01-02;14;1234568;400
2016-01-02;14;1234569;500
2016-01-02;14;1234570;600
2016-01-02;14;1234571;700
2016-01-02;14;1234572;800
2016-01-02;15;1234573;900
2016-01-02;15;1234574;1000
2016-01-02;15;1234575;120
2016-01-02;15;1234576;135
2016-01-02;15;1234577;150
2016-01-02;15;1234578;165
2016-01-02;16;1234579;180
2016-01-02;16;1234580;195
2016-01-02;16;1234581;210
2016-01-02;16;1234567;225
2016-01-02;16;1234568;240
2016-01-02;16;1234569;255
2016-01-03;1;1234570;100
2016-01-03;1;1234571;200
2016-01-03;1;1234572;300
2016-01-03;1;1234573;400
2016-01-03;1;1234574;500
2016-01-03;1;1234575;600
2016-01-03;2;1234576;700
2016-01-03;2;1234577;800
2016-01-03;2;1234578;900
2016-01-03;2;1234579;1000
2016-01-03;2;1234580;120
2016-01-03;2;1234581;135
2016-01-03;2;1234567;150
2016-01-03;3;1234568;165
2016-01-03;3;1234569;180
2016-01-03;3;1234570;195
2016-01-03;3;1234571;210
2016-01-03;3;1234572;225
2016-01-03;3;1234573;240
2016-01-03;3;1234574;255
2016-01-03;3;1234575;100
2016-01-03;4;1234576;200
2016-01-03;4;1234577;300
2016-01-03;4;1234578;400
2016-01-03;4;1234579;500
2016-01-03;4;1234580;600
2016-01-03;4;1234581;700
2016-01-03;5;1234567;800
2016-01-03;5;1234568;900
2016-01-03;5;1234569;1000
2016-01-03;5;1234570;120
2016-01-03;5;1234571;135
2016-01-03;5;1234572;150
2016-01-03;6;1234573;165
2016-01-03;6;1234574;180
2016-01-03;6;1234575;195
2016-01-03;6;1234576;210
2016-01-03;6;1234577;225
2016-01-03;7;1234578;240
2016-01-03;7;1234579;255
2016-01-03;7;1234580;100
2016-01-03;7;1234581;200
2016-01-03;7;1234567;300
2016-01-03;7;1234568;400
2016-01-03;8;1234569;500
2016-01-03;8;1234570;600
2016-01-03;8;1234571;700
2016-01-03;8;1234572;800
2016-01-03;8;1234573;900
2016-01-03;9;1234574;1000
2016-01-03;9;1234575;120
2016-01-03;9;1234576;135
2016-01-03;9;1234577;150
2016-01-03;9;1234578;165
2016-01-03;9;1234579;180
2016-01-03;10;1234580;195
2016-01-03;10;1234581;210
2016-01-03;10;1234567;225
2016-01-03;10;1234568;240
2016-01-03;11;1234569;255
2016-01-03;11;1234570;100
2016-01-03;11;1234571;200
2016-01-03;11;1234572;300
2016-01-03;12;1234573;400
2016-01-03;12;1234574;500
2016-01-03;12;1234575;600
2016-01-03;12;1234576;700
2016-01-03;12;1234577;800
2016-01-03;13;1234578;900
2016-01-03;13;1234579;1000
2016-01-03;13;1234580;120
2016-01-03;13;1234581;135
2016-01-03;14;1234567;150
2016-01-03;14;1234568;165
2016-01-03;15;1234569;180
2016-01-03;15;1234570;195
2016-01-03;15;1234571;210
2016-01-03;16;1234572;225
2016-01-03;16;1234573;240
2016-01-03;16;1234574;255
2016-01-03;16;1234575;100
2016-01-03;16;1234576;200
2016-01-03;16;1234577;300
2016-01-03;16;1234578;400
2016-01-03;16;1234579;500
2016-01-03;16;1234580;600